,국가,행정구역(동읍면)별,10대 이하,20대-30대,40대-50대,60세 이상
0,대한민국,서울특별시,13.84,29.94,31.35,24.87
1,대한민국,부산광역시,14.31,24.13,31.46,30.1
2,대한민국,대구광역시,15.97,24.56,33.09,26.38
3,대한민국,인천광역시,16.31,26.57,33.59,23.53
4,대한민국,광주광역시,18.15,26.51,32.95,22.38
5,대한민국,대전광역시,16.89,27.23,32.38,23.5
6,대한민국,울산광역시,17.71,24.63,34.87,22.79
7,대한민국,세종특별자치시,24.79,26.35,33.23,15.63
8,대한민국,경기도,17.58,26.86,33.76,21.8
9,대한민국,강원도,14.99,21.66,31.33,32.02
10,대한민국,충청북도,16.16,23.76,31.76,28.31
11,대한민국,충청남도,16.85,23.04,31.54,28.56
12,대한민국,전라북도,15.87,21.39,31.33,31.42
13,대한민국,전라남도,15.34,19.92,30.89,33.85
14,대한민국,경상북도,14.96,20.65,31.64,32.75
15,대한민국,경상남도,16.89,21.83,33.47,27.81
16,대한민국,제주특별자치도,18.7,23.44,33.68,24.18
